Kapiti Coast District Council 2016 Election, Waikanae Community Board
Source: http://www.kapiticoast.govt.nz/contentassets/cffae2e76df247ff89d006334b332d9a/final-results/waikanae-cb-iteration.xml 2016-10-16
candidate,iteration,action
James Westbury,1,elected
Margaret Stevenson-Wright,2,excluded
David Roil,3,excluded
Louise Aitken,4,excluded
Jill Lloyd,6,excluded
Jocelyn Prvanov,7,elected
Tonchi Begovich,7,elected
Jeremy Seamark,11,elected
Eric Gregory,11,excluded
