Wellington Regional Council 2016 Election, Porirua-Tawa Ward
Source: http://www.gw.govt.nz/assets/Elections-2016/Porirua-Tawa-Constituency-Final-Iteration-Report.pdf 2016-10-16
candidate,1,2
Jenny Brash,7705.0,5667.7
Barbara Donaldson,4649.0,5634.7
Joern Scherzer,2709.0,2976.9
Heidi Mills,1940.0,2238.5
nobody else,0,485.2
