Wellington Regional Council 2016 Election, Porirua-Tawa Ward, Actions
Source: http://www.gw.govt.nz/assets/Elections-2016/Porirua-Tawa-Constituency-Final-Iteration-Report.pdf 2016-10-16
candidate,iteration,action
Jenny Brash,1,elected
Barbara Donaldson,2,elected
Joern Scherzer,2,excluded
Heidi Mills,2,excluded
