Wellington Regional Council 2016 Election, Kapiti Ward
Source: http://www.gw.govt.nz/assets/Elections-2016/Kapiti-Coast-Final-Iteration-Report.pdf 2016-10-16
candidate,1,2
Penny Gaylor,6728,7738
Nigel Wilson,6701,7388
Peter Bollmann,3013,0
nobody else,0,1316
