Wellington City Council 2016 Election, Mayor
Source: http://wellington.govt.nz/~/media/your-council/elections/2016/files/commentary-iteration-textversion.rtf 2016-10-16
candidate,iteration,action
Justin Lester,7,elected
Nick Leggett,7,excluded
Jo Coughlan,6,excluded
Nicola Young,5,excluded
Andy Foster,4,excluded
Helene Ritchie,3,excluded
Keith Johnson,2,excluded
Johnny Overton,1,excluded
