publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p868705,,2016-11-17T10:06:19.705Z,2016-11-17T10:08:52.554Z,174.2090422,-41.75690361,3.054042241,7.109375,M,,NonLinLoc,,automatic,nz3drx,29,29,19,0.007266188671,126.915989,0.5884731328,0
2016p868704,,2016-11-17T10:05:41.642Z,2016-11-17T10:07:55.467Z,172.8342576,-42.6739218,3.200605067,19.53125,M,,NonLinLoc,,automatic,nz3drx,23,23,12,0.3283810573,114.3023352,0.6461481395,0
2016p868699,,2016-11-17T10:03:17.781Z,2016-11-17T10:30:38.277Z,174.2424145,-41.76121912,3.469356456,8.046875,M,,NonLinLoc,,automatic,nz3drx,69,69,41,0.02352440729,135.2113012,1.904190704,0
2016p868693,,2016-11-17T10:00:02.328Z,2016-11-17T10:02:19.202Z,173.2089426,-42.45943637,2.964221257,21.875,M,,NonLinLoc,,automatic,nz3drx,31,31,10,0.523871402,138.3304511,1.067481922,0
2016p868688,,2016-11-17T09:57:21.021Z,2016-11-17T10:30:18.804Z,174.3687069,-41.63814168,2.903314623,9.921875,M,,NonLinLoc,,automatic,nz3drx,42,42,24,0.1624703301,132.6610687,1.310045637,0
2016p868684,,2016-11-17T09:55:04.373Z,2016-11-17T09:56:54.271Z,174.0263062,-42.18617046,2.833637299,54.6875,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.4589640035,186.7802056,1.332383939,0
2016p868682,,2016-11-17T09:53:53.436Z,2016-11-17T09:56:16.352Z,174.0749563,-42.52126683,2.898314937,24.6875,M,,NonLinLoc,,automatic,nz3drx,17,17,8,0.7787182714,190.843575,1.455886212,0
2016p868680,,2016-11-17T09:52:42.929Z,2016-11-17T10:29:21.751Z,173.6635395,-42.00038263,2.598879797,14.84375,M,,NonLinLoc,,automatic,nz3drx,23,23,6,0.3261013426,153.4943857,1.051065397,0
2016p868660,,2016-11-17T09:42:26.733Z,2016-11-17T09:44:38.116Z,173.4719659,-42.45705651,2.892262659,34.0625,M,,NonLinLoc,,automatic,nz3drx,23,23,9,0.6036362587,151.6653718,0.6087784976,0
2016p868655,,2016-11-17T09:39:39.798Z,2016-11-17T09:42:57.187Z,173.7989754,-42.00767849,3.425308815,28.90625,M,,NonLinLoc,,automatic,nz3drx,51,51,30,0.297180873,129.5615221,1.537579051,0
2016p868652,,2016-11-17T09:38:00.171Z,2016-11-17T09:41:01.200Z,175.3893687,-40.53844171,3.066665929,28.4375,M,,NonLinLoc,,automatic,nz3drx,12,12,9,0.8314816996,150.694339,1.305820571,0
2016p868651,,2016-11-17T09:37:32.737Z,2016-11-17T09:40:58.178Z,173.0254865,-42.95153379,3.154254888,35.9375,M,,NonLinLoc,,automatic,nz3drx,19,19,10,0.01732089067,229.4237333,1.167278954,0
2016p868650,,2016-11-17T09:37:12.564Z,2016-11-17T09:40:54.215Z,173.3644974,-42.7309815,3.91455396,40.625,M,,NonLinLoc,,automatic,nz3drx,54,54,33,0.3383424352,155.2165315,1.730523971,0
2016p868642,,2016-11-17T09:32:35.460Z,2016-11-17T09:34:55.089Z,173.8387205,-42.43099017,2.747987511,61.25,M,,NonLinLoc,,automatic,nz3drx,13,13,4,0.7150986204,190.8128367,1.882200976,0
2016p868637,,2016-11-17T09:29:52.482Z,2016-11-17T09:32:04.842Z,174.0292022,-41.80084649,2.444404732,13.90625,M,,NonLinLoc,,automatic,nz3drx,15,15,9,0.1412008946,236.5293855,0.6013064862,0
2016p868635,,2016-11-17T09:28:52.910Z,2016-11-17T09:31:07.232Z,174.2158186,-41.75293165,2.307205562,11.09375,M,,NonLinLoc,,automatic,nz3drx,18,18,7,0.002594983359,165.376219,0.5899315778,0
2016p868630,,2016-11-17T09:26:16.763Z,2016-11-17T09:28:30.276Z,173.0263226,-42.57765642,3.201126588,19.0625,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.389716864,180.8946779,0.4450051635,0
2016p868628,,2016-11-17T09:25:38.621Z,2016-11-17T15:23:29.687Z,176.3563438,-39.00055339,2.404996199,9.6875,M,,NonLinLoc,,automatic,nz3drx,15,15,10,0.3589673435,161.3224467,0.8719079617,0
2016p868627,,2016-11-17T09:24:43.841Z,2016-11-17T09:27:42.241Z,174.2141023,-41.74370567,3.966911302,16.484375,M,,NonLinLoc,,automatic,nz3drx,86,86,55,0.00699515282,103.9068274,1.588473561,0
2016p868622,,2016-11-17T09:21:57.782Z,2016-11-17T09:25:39.019Z,174.1035758,-41.92315018,4.358382624,22.34375,M,,NonLinLoc,,automatic,nz3drx,107,107,76,0.1920450795,135.5033774,1.888139008,0
2016p868618,,2016-11-17T09:20:08.692Z,2016-11-17T09:22:14.151Z,174.2239834,-41.69811761,2.571802453,19.0625,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.2606182398,200.9557204,0.6373835813,0
2016p868604,,2016-11-17T09:12:39.620Z,2016-11-17T09:16:47.984Z,173.3258216,-42.47117344,3.960029579,49.53125,M,,NonLinLoc,,automatic,nz3drx,102,102,60,0.5405839786,130.0437802,1.674539986,0
2016p868601,,2016-11-17T09:10:57.657Z,2016-11-17T09:14:18.834Z,173.2673245,-42.48449708,3.011432447,26.5625,M,,NonLinLoc,,automatic,nz3drx,25,25,12,0.512361987,140.014273,0.9021078351,0
2016p868599,,2016-11-17T09:09:42.940Z,2016-11-17T09:12:13.254Z,174.2205059,-41.74222526,2.84917648,9.453125,M,,NonLinLoc,,automatic,nz3drx,34,34,19,0.009824616508,132.8533968,0.9920500185,0
2016p868589,,2016-11-17T09:04:39.227Z,2016-11-17T09:06:54.291Z,173.8252817,-42.35718227,2.970528265,40.625,M,,NonLinLoc,,automatic,nz3drx,29,29,12,0.6419681584,151.3267452,0.8739401504,0
2016p868581,,2016-11-17T09:00:02.940Z,2016-11-17T09:03:02.669Z,174.2212482,-41.73724217,2.944161067,8.984375,M,,NonLinLoc,,automatic,nz3drx,43,43,22,0.01457302793,124.6900649,1.010454149,0
2016p868571,,2016-11-17T08:54:50.369Z,2016-11-17T08:57:28.618Z,174.2731932,-41.59529657,2.718251388,12.265625,M,,NonLinLoc,,automatic,nz3drx,27,27,17,0.1621670755,108.5451568,0.8972800855,0
