Council,Type,Year,Turnout
Stratford District,Rural,2013,47.2
Tararua District,Rural,2013,50.5
Waimate District,Rural,2013,57.0
Wairoa District,Rural,2013,62.0
Waitomo District,Rural,2013,43.6
Westland District,Rural,2013,54.3
Buller District,Rural,2016,51.6
Carterton District,Rural,2016,52.3
Central Hawke's Bay District  ,Rural,2016,62.7
Central Otago District,Rural,2016,62.0
Chatham Islands,Rural,2016,70.9
Clutha District,Rural,2016,40.8
Gore District,Rural,2016,59.4
Grey District,Rural,2016,49.0
Hauraki District,Rural,2016,44.2
Hurunui District,Rural,2016,41.1
Kaikoura District,Rural,2016,54.6
Kaipara District,Rural,2016,47.1
Kawerau District,Rural,2016,44.8
Mackenzie District,Rural,2016,64.3
Opotiki District,Rural,2016,41.6
Otorohanga District,Rural,2016,25.1
Rangitikei District,Rural,2016,47.9
Ruapehu District,Rural,2016,46.5
South Waikato District,Rural,2016,44.4
South Wairarapa District,Rural,2016,56.1
Stratford District,Rural,2016,45.4
Tararua District,Rural,2016,53.5
Waimate District,Rural,2016,49.6
Wairoa District,Rural,2016,60.9
Waitomo District,Rural,2016,38.4
Westland District,Rural,2016,58.9
