Council,Type,Year,Turnout
Buller District,Rural,2019,56.9
Carterton District,Rural,2010,56.7
Carterton District,Rural,2013,45.7
Carterton District,Rural,2016,52.3
Carterton District,Rural,2019,51.8
Central Hawke's Bay District,Rural,2010,56.2
Central Hawke's Bay District,Rural,2013,55.2
Central Hawke's Bay District,Rural,2016,62.7
Central Hawke's Bay District,Rural,2019,51.7
Central Otago District,Rural,2010,58.0
Central Otago District,Rural,2013,52.9
Central Otago District,Rural,2016,62.0
Central Otago District,Rural,2019,53.3
Chatham Islands,Rural,2010,72.1
Chatham Islands,Rural,2013,54.4
Chatham Islands,Rural,2016,71.9
Chatham Islands,Rural,2019,48.7
Clutha District,Rural,2010,62.8
Clutha District,Rural,2013,59.8
Clutha District,Rural,2016,41.1
Clutha District,Rural,2019,41.99999999999999999999999999999
Gore District,Rural,2010,50.6
Gore District,Rural,2013,41.7
Gore District,Rural,2016,59.4
Gore District,Rural,2019,43.4
Grey District,Rural,2010,47.8
Grey District,Rural,2013,45.3
Grey District,Rural,2016,49.1
Grey District,Rural,2019,63.1
Hauraki District,Rural,2010,42.8
Hauraki District,Rural,2013,40.4
Hauraki District,Rural,2016,44.2
Hauraki District,Rural,2019,41.8
Hurunui District,Rural,2010,55.4
Hurunui District,Rural,2013,44.7
Hurunui District,Rural,2016,41.1
Hurunui District,Rural,2019,55.1
Kaikoura District,Rural,2010,65.5
Kaikoura District,Rural,2013,59.3
Kaikoura District,Rural,2016,57.2
Kaikoura District,Rural,2019,55.8
Kaipara District,Rural,2010,53.5
Kaipara District,Rural,2013,36.1
Kaipara District,Rural,2016,47.8
Kaipara District,Rural,2019,37.8
Kawerau District,Rural,2010,50.0
Kawerau District,Rural,2013,47.7
Kawerau District,Rural,2016,45.6
Kawerau District,Rural,2019,41.7
Mackenzie District,Rural,2010,65.9
Mackenzie District,Rural,2013,64.0
Mackenzie District,Rural,2016,64.3
Mackenzie District,Rural,2019,57.7
Opotiki District,Rural,2010,55.7
Opotiki District,Rural,2013,51.5
Opotiki District,Rural,2016,41.8
Opotiki District,Rural,2019,45.3
Otorohanga District,Rural,2010,36.4
Otorohanga District,Rural,2013,50.6
Otorohanga District,Rural,2016,25.1
Otorohanga District,Rural,2019,43.5
Rangitikei District,Rural,2010,47.1
Rangitikei District,Rural,2013,49.5
Rangitikei District,Rural,2016,47.9
Rangitikei District,Rural,2019,44.1
Ruapehu District,Rural,2010,44.1
Ruapehu District,Rural,2013,47.4
Ruapehu District,Rural,2016,46.5
Ruapehu District,Rural,2019,46.0
South Waikato District,Rural,2010,39.1
South Waikato District,Rural,2013,41.5
South Waikato District,Rural,2016,44.4
South Waikato District,Rural,2019,34.5
South Wairarapa District,Rural,2010,51.9
South Wairarapa District,Rural,2013,45.1
South Wairarapa District,Rural,2016,56.3
South Wairarapa District,Rural,2019,52.1
Stratford District,Rural,2010,45.5
Stratford District,Rural,2013,47.2
Stratford District,Rural,2016,45.6
Stratford District,Rural,2019,43.9
Tararua District,Rural,2010,55.1
Tararua District,Rural,2013,50.5
Tararua District,Rural,2016,53.5
Tararua District,Rural,2019,48.0
Waimate District,Rural,2010,55.6
Waimate District,Rural,2013,57.0
Waimate District,Rural,2016,49.6
Waimate District,Rural,2019,50.2
Wairoa District,Rural,2010,57.4
Wairoa District,Rural,2013,62.0
Wairoa District,Rural,2016,63.0
Wairoa District,Rural,2019,42.9
Waitomo District,Rural,2010,49.0
Waitomo District,Rural,2013,43.6
Waitomo District,Rural,2016,38.4
Waitomo District,Rural,2019,51.7
Westland District,Rural,2010,62.4
Westland District,Rural,2013,54.3
Westland District,Rural,2016,59.0
Westland District,Rural,2019,60.7
