Year,Turnout,Group
2010,45.0,Metro
2013,38.0,Metro
2016,39.3,Metro
2019,37.8,Metro
2010,49.0,National
2013,41.3,National
2016,42.0,National
2019,41.4,National
2010,50.0,Provincial
2013,47.0,Provincial
2016,45.7,Provincial
2019,46.3,Provincial
2010,54.0,Rural
2013,50.0,Rural
2016,49.8,Rural
2019,56.8,Rural
