publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
3125249,earthquake,2009-07-16T08:56:17.186Z,2013-06-24T17:09:00.000Z,166.57534999999998604,-45.54325999999999652,3.48899999999999988,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,9,12,0.41399999999999998,255.00000000000000000,0.35081000000000001,0.20699999999999999
3125246,earthquake,2009-07-16T08:47:46.160Z,2013-06-24T17:09:00.000Z,165.97081000000000017,-46.08867000000000047,2.98200000000000021,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,7,10,0.50000000000000000,310.00000000000000000,0.31180999999999998,0.19500000000000001
3125244,earthquake,2009-07-16T08:40:28.893Z,2013-06-24T17:09:00.000Z,165.87178000000000111,-45.54505000000000337,3.54999999999999982,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,7,10,0.84099999999999997,305.00000000000000000,0.31844000000000000,0.16700000000000001
3125243,earthquake,2009-07-16T08:35:39.138Z,2013-06-24T17:09:00.000Z,166.59372999999999365,-45.49495999999999896,3.80299999999999994,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,8,15,0.39500000000000002,234.00000000000000000,0.15916000000000000,0.18099999999999999
3125242,earthquake,2009-07-16T08:33:27.341Z,2013-06-24T17:09:00.000Z,166.98870999999999754,-45.08418000000000347,3.11399999999999988,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,13,10,8,0.40000000000000002,228.00000000000000000,0.27839000000000003,0.19300000000000000
3125241,earthquake,2009-07-16T08:28:58.165Z,2013-06-24T17:09:00.000Z,166.62839999999999918,-45.57296000000000191,4.09999999999999964,12.00000000000000000,Mw,operator assigned,GROPE,reviewed,manual,nz1dr,10,7,0,0.38400000000000001,223.00000000000000000,0.18268000000000001,0.00000000000000000
3125240,earthquake,2009-07-16T08:25:39.441Z,2013-06-24T17:09:00.000Z,165.82433000000000334,-46.18666999999999945,3.96300000000000008,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,9,14,0.59499999999999997,310.00000000000000000,0.23158000000000001,0.27400000000000002
3125239,earthquake,2009-07-16T08:24:18.311Z,2013-06-24T17:09:00.000Z,177.67690999999999235,-36.93834999999999980,3.07600000000000007,94.01980000000000359,ML,,GROPE,reviewed,manual,nz1dr,8,5,6,1.22300000000000009,316.00000000000000000,0.19622000000000001,0.26200000000000001
3125238,earthquake,2009-07-16T08:21:39.015Z,2013-06-24T17:09:00.000Z,165.75049999999998818,-46.16693000000000069,4.40000000000000036,12.00000000000000000,Mw,operator assigned,GROPE,reviewed,manual,nz1dr,12,9,0,0.64600000000000002,307.00000000000000000,0.33920000000000000,0.00000000000000000
3125237,earthquake,2009-07-16T08:15:35.264Z,2013-06-24T17:09:00.000Z,166.70548999999999751,-45.57459999999999667,3.75300000000000011,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,6,14,0.33300000000000002,227.00000000000000000,0.13111999999999999,0.19400000000000001
3125236,earthquake,2009-07-16T08:12:07.733Z,2013-06-24T17:09:00.000Z,165.85079999999999245,-46.42291000000000167,3.22100000000000009,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,9,6,8,0.62900000000000000,295.00000000000000000,0.14640000000000000,0.20300000000000001
3125491,earthquake,2009-07-16T08:10:28.233Z,2013-06-24T17:11:00.000Z,165.76822000000001367,-46.09552000000000049,3.88600000000000012,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,7,12,0.63800000000000001,306.00000000000000000,0.18323999999999999,0.17199999999999999
3125235,earthquake,2009-07-16T08:09:22.980Z,2013-06-24T17:09:00.000Z,166.50838999999999146,-45.64782999999999902,3.74000000000000021,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,7,13,0.48799999999999999,244.00000000000000000,0.32168999999999998,0.13700000000000001
3125230,earthquake,2009-07-16T07:53:53.205Z,2013-06-24T17:08:00.000Z,166.60362000000000648,-45.41317999999999699,2.93299999999999983,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,7,11,0.39100000000000001,236.00000000000000000,0.17904999999999999,0.16600000000000001
3125229,earthquake,2009-07-16T07:50:44.934Z,2013-06-24T17:08:00.000Z,166.15555000000000518,-46.03397999999999968,3.07799999999999985,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,7,5,0.38900000000000001,293.00000000000000000,0.32125999999999999,0.11899999999999999
3125227,earthquake,2009-07-16T07:45:09.068Z,2013-06-24T17:08:00.000Z,166.10649000000000797,-46.08070000000000022,3.72500000000000009,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,11,8,14,0.40899999999999997,300.00000000000000000,0.30981999999999998,0.12300000000000000
3125486,earthquake,2009-07-16T07:40:50.721Z,2013-06-24T17:11:00.000Z,166.53562999999999761,-45.68778999999999968,3.67700000000000005,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,6,11,0.48699999999999999,237.00000000000000000,0.19647000000000001,0.14899999999999999
3125484,earthquake,2009-07-16T07:39:44.462Z,2013-06-24T17:11:00.000Z,166.44552999999999088,-45.91671999999999798,3.41999999999999993,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,12,6,9,0.29999999999999999,254.00000000000000000,0.43819999999999998,0.20699999999999999
3125225,earthquake,2009-07-16T07:35:42.937Z,2013-06-24T17:08:00.000Z,175.09900999999999271,-40.44798999999999722,2.49100000000000010,5.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,41,37,8,0.37400000000000000,59.00000000000000000,0.37565999999999999,0.08000000000000000
3125224,earthquake,2009-07-16T07:32:59.469Z,2013-06-24T17:08:00.000Z,165.69377000000000066,-46.13177000000000305,3.48399999999999999,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,12,7,6,0.68700000000000006,302.00000000000000000,0.33788000000000001,0.22700000000000001
3125220,earthquake,2009-07-16T07:25:19.445Z,2013-06-24T17:08:00.000Z,166.46093999999999369,-45.58854000000000184,2.96499999999999986,12.00000000000000000,ML,operator assigned,GROPE,reviewed,manual,nz1dr,10,4,4,0.50200000000000000,271.00000000000000000,0.33593000000000001,0.15800000000000000
